Name,Rating,Rating_Extremeness,Helpfulness,Helpfulness_Negative,Helpfulness_Positive,Verification,Amount_of_positive_attributes,Amount_of_negative_attributes,Amount_of_neutral_attributes,Total_amount_of_attributes,Total_amount_of_valent_attributes,Date_of_Review
Kostas_Koulas,3,0,0,1,1,1,3,3,2,8,6,2023-10-24
sgrimanis,1,2,-2,3,1,1,0,7,1,8,7,2023-09-12
paris13,5,2,14,0,14,1,5,0,3,8,5,2023-07-18
skills_bike,3,0,-2,2,0,0,0,3,5,8,3,2022-07-16
www_melipantelakos,4,1,0,0,0,0,6,0,2,8,6,2022-06-11
Panagiota_Tsirikou,4,1,2,0,2,0,3,1,3,7,4,2022-05-09
Minecraft_Friends,4,1,12,1,13,1,4,1,3,8,5,2021-07-03
aktimon1961,5,2,7,1,8,0,8,0,0,8,8,2021-02-03
marinosram,4,1,9,0,9,0,8,0,0,8,8,2020-12-26
Κίτσος Ασπρέας,2,1,1,0,1,0,1,3,4,8,4,2023-10-23
Jason_Tremb6415,3,0,1,0,1,0,1,1,2,4,2,2023-09-06
z,4,1,4,0,4,0,4,0,4,8,4,2023-08-10
Mr Sun0065,4,1,3,0,3,0,6,0,2,8,6,2023-07-11
Vagelis_Kappas,4,1,6,0,6,1,3,0,3,6,3,2023-02-14
xristos_pip6437,5,2,5,0,5,0,6,0,1,7,6,2022-12-25
georg.kallinis,4,1,6,0,6,1,5,0,3,8,5,2022-12-09
Alexiath,5,2,1,0,1,1,5,0,0,5,5,2024-01-31
vangokrik,3,0,4,2,6,1,3,2,3,8,5,2024-01-02
Sim77,5,2,17,1,18,1,5,0,1,6,5,2022-12-28
Bskotos,4,1,1,0,1,1,3,3,2,8,6,2024-01-23
service1967,1,2,0,0,0,1,0,8,0,8,8,2023-11-13
Fani_K,3,0,0,0,0,0,0,0,0,0,0,2023-09-25
tomi_grig27,4,1,0,0,0,1,0,0,5,5,0,2023-08-29
ΑΝΔΡΙΩΤΗΣΠ,3,0,-1,3,2,1,3,0,5,8,3,2022-06-28
Athina_AAA,5,2,1,0,1,0,5,0,3,8,5,2023-02-12
Rafahl_Georgoulas,1,2,-2,5,3,0,2,1,5,8,3,2022-11-28
Evanggelia_Pitsaki9529,4,1,0,1,1,0,7,0,0,7,7,2022-10-10
Giwta1008,4,1,1,0,1,0,8,0,0,8,8,2022-09-15
Dimitris_Kendro,5,2,7,0,7,0,8,0,0,8,8,2022-04-16
Noa_Frometa,1,2,-9,10,1,0,1,3,4,8,4,2022-03-18
Lef de art,5,2,2,0,2,0,7,0,1,8,7,2022-01-28
Spiros_Spingos,5,2,0,0,0,1,8,0,0,8,8,2022-01-11
KaterinaGxm,4,1,1,0,1,1,8,0,0,8,8,2021-11-23
anastasios.tzebelikos,5,2,1,2,3,1,7,0,1,8,7,2021-08-06
Dimitris dimitrakopoulos,5,2,2,0,2,0,6,0,2,8,6,2021-04-30
kimithessal,5,2,4,2,6,0,8,0,0,8,8,2021-03-24
HOULA_MAN,5,2,6,1,7,0,8,0,0,8,8,2021-03-10
Manos_Kritikos5270,5,2,6,1,7,0,8,0,0,8,8,2021-03-06
Little_Dreams,5,2,12,1,13,0,7,0,1,8,7,2021-02-14
jkls,5,2,10,1,11,0,8,0,0,8,8,2021-01-31
agerop03,5,2,15,0,15,1,8,0,0,8,8,2021-01-23
mpats35,4,1,10,1,11,0,8,0,0,8,8,2021-01-21
Panos_P_,4,1,6,3,9,0,7,0,1,8,7,2021-01-20
Gemini_Volans,5,2,32,2,34,0,8,0,0,8,8,2021-01-19
Zacharias_Govesis,5,2,8,2,10,0,6,2,0,8,8,2021-01-01
Anastasia_leon,5,2,15,1,16,0,8,0,0,8,8,2020-12-23
GAVRIELLA_VIENNA,5,2,9,2,11,0,7,0,1,8,7,2020-10-14
Tasos_Kagiar,2,1,-21,27,6,0,4,3,1,8,7,2020-09-06
Giorgios richard,1,2,-30,47,17,0,0,5,1,6,5,2020-08-17
Pavlos_Smartphones,1,2,0,28,28,0,3,3,2,8,6,2020-08-11
Steλλa,5,2,3,2,5,1,7,0,1,8,7,2024-02-01
tsit72,5,2,5,5,10,0,8,0,0,8,8,2024-01-28
alexandros.papanastasiou,5,2,7,1,8,0,7,0,1,8,7,2024-01-17
CHRIS LIZEKAS,5,2,7,3,10,0,7,0,1,8,7,2023-11-28
Aris_Gioulos6832,5,2,11,2,13,0,7,0,1,8,7,2023-09-30
Erina_sa,5,2,9,1,10,0,7,0,1,8,7,2023-09-28
Evelina_Vasileiou1181,5,2,26,1,27,0,8,0,0,8,8,2023-09-23
Nikos_Giachnaki,3,0,-32,39,7,0,1,3,4,8,4,2023-09-20
Ippo_Soum,5,2,8,4,12,0,8,0,0,8,8,2023-08-22
Stelina_Malliari,5,2,3,4,7,0,7,0,1,8,7,2023-08-11
nikosliv3,5,2,9,3,12,0,8,0,0,8,8,2023-08-03
Konstantinos Zoropoulos,4,1,4,3,7,0,5,0,3,8,5,2023-08-02
Bong_Da_PIPA,2,1,-4,21,17,0,0,0,0,0,0,2023-07-18
PANAGIOTA_MPOUKA,2,1,-19,28,9,0,3,1,4,8,4,2023-07-12
Kl_Mp,3,0,-15,24,9,0,0,0,0,0,0,2023-07-11
andrew_cage,2,1,-17,24,7,0,6,1,1,8,7,2023-07-05
fix_it_Swt_o_michanikos_Kotsov,5,2,5,7,12,0,8,0,0,8,8,2023-06-12
Pessoa,5,2,0,0,0,1,8,0,0,8,8,2023-05-23
demis_kal,5,2,5,2,7,1,7,1,0,8,8,2023-05-13
ser2,4,1,0,6,6,0,4,0,4,8,4,2023-05-04
kingracer123,4,1,6,4,10,0,6,0,2,8,6,2023-04-25
Mar_Eve,5,2,15,3,18,0,8,0,0,8,8,2023-04-24
Mitsakos_Gamer,5,2,4,2,6,0,5,0,3,8,5,2023-04-17
George_Stasinopoulos7812,5,2,1,1,2,0,8,0,0,8,8,2024-01-20
Nikos_mistirio,5,2,1,0,1,0,8,0,0,8,8,2024-01-18
ioanna.ele,5,2,0,0,0,0,7,0,1,8,7,2024-01-17
Panagiotis Bou,5,2,0,0,0,0,8,0,0,8,8,2024-01-13
xatzitakis_t,5,2,8,4,12,0,8,0,0,8,8,2023-03-13
Kostas_Tourlos,5,2,6,1,7,0,6,0,2,8,6,2023-03-09
Niki_CHrysostomidou,5,2,1,5,6,0,7,1,0,8,8,2023-01-29
Martinkpn_,5,2,3,1,4,0,8,0,0,8,8,2022-12-24
Giorgos_Mitropoulos,5,2,3,5,8,0,8,0,0,8,8,2022-09-13
edi_fwtias,5,2,5,3,8,0,7,0,1,8,7,2022-06-09
Achilleas_Giannopoulos,5,2,14,1,15,0,8,0,0,8,8,2022-05-01
Thodpap67,5,2,13,2,15,0,8,0,0,8,8,2022-02-14
Emanuela_L_,5,2,10,2,12,0,6,0,2,8,6,2022-01-29
denisala65,3,0,-24,35,11,0,6,0,2,8,6,2021-11-01
Vasileios_Karavasilas,5,2,12,3,15,0,7,0,1,8,7,2021-10-30
ana_drouga97,5,2,9,0,9,0,8,0,0,8,8,2021-10-13
Ε_Κ@ti,5,2,4,2,6,0,8,0,0,8,8,2021-10-13
Zeno,5,2,14,1,15,1,8,0,0,8,8,2021-08-07
Anastasios_Katsirntis,5,2,16,3,19,0,8,0,0,8,8,2021-07-17
ariskark,5,2,16,5,21,0,7,0,1,8,7,2021-05-02
dimopoulos95,5,2,3,10,13,0,7,0,1,8,7,2021-04-26
mariianna_tsakiridh,5,2,0,7,7,0,6,0,2,8,6,2021-04-22
Georgethgr,5,2,14,3,17,0,8,0,0,8,8,2021-04-17
KOSTAS_PLIAKOS5634,5,2,4,3,7,0,8,0,0,8,8,2021-03-29
bilkar23,5,2,-2,10,8,0,8,0,0,8,8,2021-03-28
Kostas_Markopoulos76,4,1,-5,15,10,0,5,0,3,8,5,2021-03-25
danielrodos19,5,2,9,1,10,0,8,0,0,8,8,2022-02-04
Dinos_mamelias,5,2,0,0,0,0,8,0,0,8,8,2024-02-17
George bro,5,2,1,0,1,0,8,0,0,8,8,2024-01-24
Antonis.FOTIS,5,2,3,1,4,0,8,0,0,8,8,2023-09-26
mihaelacat4,5,2,7,1,8,0,8,0,0,8,8,2023-01-27
pavlos_kotsidis83,5,2,10,1,11,0,8,0,0,8,8,2022-10-22
Xrisostomos_Gakis,4,1,7,1,8,0,8,0,0,8,8,2022-09-18
activea,5,2,6,0,6,0,8,0,0,8,8,2022-09-05
mihaela_mihaliou,5,2,5,2,7,0,8,0,0,8,8,2022-07-06
mitsos1234,5,2,12,1,13,0,8,0,0,8,8,2022-06-07
Konst_Oik,5,2,9,0,9,0,7,0,1,8,7,2022-06-01
Hlias_j,5,2,6,1,7,0,6,0,1,7,6,2022-04-11
stelios_harper,5,2,6,1,7,0,8,0,0,8,8,2021-12-08
Blitzgrabmygf,4,1,0,9,9,1,5,0,3,8,5,2021-11-30
Pauloss_Mecani,5,2,6,2,8,0,7,0,1,8,7,2021-11-27
D. Stavrou,5,2,12,2,14,0,8,0,0,8,8,2021-09-25
naf_gt,5,2,5,5,10,0,8,0,0,8,8,2021-06-13
Athanasia_Paschalidou,4,1,1,7,8,0,6,0,2,8,6,2021-06-08
AdamantiosXRV,5,2,3,18,21,0,8,0,0,8,8,2021-04-02
Magdalena_Ragussi,4,1,9,3,12,0,7,0,1,8,7,2021-03-26
frxkss,5,2,18,3,21,0,8,0,0,8,8,2021-02-26
Kostas_Kalafatas,5,2,8,5,13,0,8,0,0,8,8,2021-01-17
Vagelis_Gaganis,5,2,3,7,10,0,8,0,0,8,8,2020-12-20
ENKI2,5,2,8,4,12,0,8,0,0,8,8,2020-12-10
Antonis_Maragos6366,5,2,12,5,17,0,8,0,0,8,8,2020-12-06
Αλέξανδρος Σπεης,5,2,1,0,1,1,7,0,1,8,7,2024-01-17
Tsakalis_George,3,0,-8,8,0,0,4,0,4,8,4,2023-12-10
Antreas___THeofanis_Margaritis,4,1,2,0,2,0,6,0,1,7,6,2023-12-09
zzzmallzz_iZ,3,0,-6,14,8,0,5,3,0,8,8,2023-11-02
antonisgeo285,5,2,21,1,22,0,8,0,0,8,8,2023-09-16
party.man1,5,2,8,1,9,1,8,0,0,8,8,2023-08-30
nikosvsl,5,2,5,1,6,1,8,0,0,8,8,2023-07-11
SARANTIS_PANTOUDIS,5,2,2,2,4,1,7,0,1,8,7,2023-07-04
danaikn.09,5,2,-1,5,4,1,7,0,1,8,7,2023-06-07
Natalia_Vr,5,2,9,0,9,1,7,0,1,8,7,2023-05-16
Ta_papakia_sthn_seira,4,1,3,7,10,0,6,0,2,8,6,2023-05-01
gio__23,5,2,5,5,10,0,8,0,0,8,8,2023-03-07
Andreas_Tsvetkov,5,2,10,7,17,0,8,0,0,8,8,2023-02-24
Panagiotis_Spyropalis,5,2,16,2,18,0,7,0,1,8,7,2022-12-31
Vasiliki_Tzintzoglou,4,1,5,1,6,0,7,0,1,8,7,2022-12-19
aggeloskoystaskom6,4,1,3,6,9,1,4,0,4,8,4,2022-11-22
Cate_Rina,5,2,0,16,16,0,8,0,0,8,8,2022-10-28
enakopoulou,4,1,-20,24,4,1,7,0,1,8,7,2022-10-18
Spyridon_Spyros,5,2,10,1,11,0,8,0,0,8,8,2022-09-21
paca_p1z,5,2,2,5,7,0,7,0,1,8,7,2022-09-07
Grigoris_Karaiskos,4,1,16,5,21,0,5,1,2,8,6,2022-09-04
Antonis_Takashi,4,1,1,7,8,1,6,1,1,8,7,2022-08-29
Raffaelos,5,2,5,1,6,1,8,0,0,8,8,2022-08-24
Michalis_Ntais,3,0,10,5,15,0,6,1,1,8,7,2022-08-21
nikoscar,5,2,7,4,11,1,6,0,2,8,6,2022-07-18
basilisnikolaou5c,4,1,8,2,10,0,8,0,0,8,8,2022-06-13
Αλέξανδρος Σπεης,5,2,2,0,2,1,7,0,1,8,7,2024-01-17
Tsakalis_George,3,0,-7,8,1,0,4,0,4,8,4,2023-12-10
antonisgeo285,5,2,22,1,23,0,8,0,0,8,8,2023-09-16
Tsakalis_George,3,0,-7,7,0,0,4,0,4,8,4,2023-12-10
zzzmallzz_iZ,3,0,-5,13,8,0,5,3,0,8,8,2023-11-02
Natalia_Vr,5,2,8,0,8,1,7,0,1,8,7,2023-05-16
Nikos_mistirio,5,2,1,0,1,0,7,0,1,8,7,2024-01-27
dhmosp,3,0,-6,6,0,0,4,1,3,8,5,2023-12-22
Ta_papakia_sthn_seira,4,1,1,0,1,0,7,0,1,8,7,2023-10-14
stergios_plexidas,4,1,3,0,3,0,7,1,0,8,8,2023-09-13
N0s,3,0,-1,1,0,0,4,0,4,8,4,2023-08-28
Chryselia_Anastasopoulou,4,1,5,0,5,0,7,1,0,8,8,2023-07-17
Tsiftsis_Konstantinos,4,1,2,4,6,0,6,1,0,7,7,2023-05-27
Larry2,3,0,3,3,6,0,6,1,1,8,7,2023-04-07
dimihas,3,0,-16,19,3,0,6,0,2,8,6,2023-03-25
Vasilis_Stefanatos,4,1,6,0,6,0,5,1,2,8,6,2022-11-23
Cilio,5,2,7,0,7,1,7,0,1,8,7,2022-11-21
Petros_Aronis82,4,1,0,4,4,0,7,0,1,8,7,2022-10-27
georgekoliopoulos64,3,0,5,7,12,0,4,1,3,8,5,2022-09-15
kechrimparis,5,2,5,0,5,0,6,0,2,8,6,2022-09-14
Zurab_M,4,1,5,0,5,0,7,0,1,8,7,2022-09-09
Stratos_Frag,3,0,4,3,7,1,6,0,2,8,6,2022-08-18
greek_gamers74,4,1,5,1,6,0,5,0,3,8,5,2022-08-09
marsi_konstandinidou,5,2,2,2,4,0,7,0,1,8,7,2022-05-22
tzouanaki29,2,1,-29,40,11,0,2,4,2,8,6,2022-05-08
Mxrkellos_Psar,5,2,1,4,5,0,6,0,2,8,6,2022-04-30
DK85,5,2,16,0,16,0,7,0,1,8,7,2022-03-14
johnkokos,5,2,17,2,19,1,8,0,0,8,8,2022-02-01
dimitris737,5,2,8,10,18,1,6,0,2,8,6,2022-01-18
theokan2003,4,1,10,0,10,0,7,0,1,8,7,2022-01-06
georgeako2002,5,2,6,0,6,0,8,0,0,8,8,2023-09-13
dimitrisk-11,5,2,6,0,6,0,7,0,1,8,7,2023-07-01
autokrikri,5,2,9,6,15,0,7,0,1,8,7,2022-09-16
Bill_Bar910,4,1,-26,34,8,0,4,0,4,8,4,2022-04-14
Panagiotis Argyropoulos,5,2,-1,9,8,1,8,0,0,8,8,2022-02-06
John_Plev,5,2,-15,32,17,1,6,0,2,8,6,2021-12-19
Easychris,5,2,-10,16,6,0,4,0,2,6,4,2021-10-16
Nick_Panic,5,2,-5,14,9,0,8,0,0,8,8,2021-09-30
Christos Tountas,5,2,-14,25,11,0,8,0,0,8,8,2021-07-30
Darth_,5,2,8,6,14,0,8,0,0,8,8,2021-07-22
iliaskos4,5,2,-1,17,16,0,7,0,1,8,7,2021-06-07
Ninjapilgrim,5,2,2,13,15,1,8,0,0,8,8,2021-06-01
kielly.xiradaki,5,2,-10,25,15,0,8,0,0,8,8,2021-05-21
mario_kopaci,5,2,-15,23,8,0,8,0,0,8,8,2021-04-22
MrArkatus,5,2,22,14,36,0,8,0,0,8,8,2021-03-26
Friday50,5,2,7,15,22,0,8,0,0,8,8,2021-02-13
mike95154,5,2,-8,17,9,0,8,0,0,8,8,2021-02-12
Yiakou,5,2,3,17,20,1,8,0,0,8,8,2021-02-03
1989leuteris,5,2,-8,26,18,0,6,0,2,8,6,2021-02-02
Chrys V,5,2,-9,24,15,0,8,0,0,8,8,2021-01-05
hotsugar1980a,5,2,-19,34,15,1,8,0,0,8,8,2021-01-03
D__Apostolidis,5,2,11,21,32,0,8,0,0,8,8,2020-12-24
GeorgePlat,5,2,-16,28,12,0,8,0,0,8,8,2020-12-10
Mixalhs_g,5,2,3,3,6,0,5,0,0,5,5,2023-06-18
elsaoui_karim,5,2,3,1,4,0,5,0,2,7,5,2023-06-09
Restalious,5,2,2,2,4,0,8,0,0,8,8,2023-04-24
Kostas_Sidiropoulos,5,2,1,2,3,0,7,0,1,8,7,2023-03-01
Ioanna_Andreadaki6716,5,2,6,2,8,0,8,0,0,8,8,2023-02-18
Maritina_Achladioti4263,5,2,3,3,6,0,7,0,1,8,7,2023-02-02
Leyteris_Douloumpekis,5,2,8,1,9,0,8,0,0,8,8,2023-01-31
Fonaf,5,2,3,1,4,0,8,0,0,8,8,2022-12-15
Whitehood,2,1,-33,42,9,0,6,2,0,8,8,2022-10-30
alexkokalo2,5,2,9,4,13,1,7,0,1,8,7,2022-06-19
Stefanos1977,4,1,8,1,9,1,8,0,0,8,8,2022-05-23
Vagelis_Gaganis,5,2,6,1,7,0,6,0,2,8,6,2022-05-11
Ben_Bill,5,2,5,1,6,0,8,0,0,8,8,2022-05-10
Kwstas_Tsipas,4,1,0,7,7,0,6,0,2,8,6,2022-05-04
Spyros_Panagiwtopoulos,3,0,-13,21,8,0,3,2,3,8,5,2022-04-25
SAVVAS_TERZIDIS,4,1,14,8,22,0,5,0,3,8,5,2022-04-06
nikolis_vakalis,5,2,15,1,16,1,8,0,0,8,8,2022-01-21
ENKI2,5,2,12,3,15,0,8,0,0,8,8,2021-11-18
ΧρήστοςΓεν21,5,2,8,7,15,0,8,0,0,8,8,2021-10-06
Fotis_Karapanos,3,0,2,23,25,0,1,2,5,8,3,2021-09-30
VAGGELIS_SANIKLEIDIS,5,2,11,9,20,0,8,0,0,8,8,2021-09-04
SAVVAS_TERZIDIS,4,1,13,8,21,0,5,0,3,8,5,2022-04-06
ALEXANDROS_X_,5,2,6,0,6,0,8,0,0,8,8,2024-03-03
Marasilina,4,1,-4,6,2,1,6,0,2,8,6,2024-02-29
Katerina_Riga28,5,2,10,2,12,0,7,0,1,8,7,2024-01-29
John_Adamakis6146,5,2,10,0,10,0,8,0,0,8,8,2024-01-20
Laaa,5,2,16,0,16,0,8,0,0,8,8,2023-12-30
Epameinondas_Rentifis23,5,2,11,0,11,1,8,0,0,8,8,2023-11-24
elenakipera1994,4,1,10,0,10,0,7,0,1,8,7,2023-11-05
stratus.stratus,5,2,9,0,9,0,4,0,4,8,4,2023-10-31
aggelos1924,5,2,23,0,23,0,8,0,0,8,8,2023-10-29
DEAD SHOT GR,5,2,14,2,16,0,8,0,0,8,8,2023-10-11
Kostas_ms,5,2,7,1,8,0,7,0,1,8,7,2023-10-11
Vasilis_Xylardistos,5,2,-1,7,6,1,8,0,0,8,8,2023-10-10
nikos. Tsampaaaaa,1,2,-46,49,3,0,0,0,0,0,0,2023-09-25
Xrhstos_Sam,5,2,8,1,9,0,8,0,0,8,8,2023-09-20
milcurl,4,1,-1,9,8,1,6,0,2,8,6,2023-09-03
Mirella_Goudoula,5,2,6,0,6,1,7,0,1,8,7,2023-08-31
andreas_andreas1629,4,1,-1,9,8,0,5,0,3,8,5,2023-08-26
dainavass_,5,2,7,2,9,0,6,0,1,7,6,2023-08-19
www.panos.gavros,5,2,12,0,12,0,8,0,0,8,8,2023-07-27
iordanismantzospoulios,5,2,0,5,5,0,8,0,0,8,8,2023-07-18
Fronis,5,2,13,3,16,0,8,0,0,8,8,2023-07-03
Dimitris_Tsipos,5,2,2,0,2,0,8,0,0,8,8,2023-07-02
Avokeido,5,2,8,0,8,1,8,0,0,8,8,2023-07-01
PANAGIOTIS_KOPTERIDIS,4,1,-8,15,7,0,6,1,1,8,7,2023-06-04
niki_kuri,4,1,-32,36,4,1,5,0,3,8,5,2023-05-30
apostolis_skr,5,2,8,1,9,0,8,0,0,8,8,2023-05-08
ALEXANDROS_X_,5,2,7,0,7,0,8,0,0,8,8,2024-03-03
Marasilina,4,1,-3,6,3,1,6,0,2,8,6,2024-02-29
Vasilis_Xylardistos,5,2,-2,8,6,1,8,0,0,8,8,2023-10-10
ALEXANDROS_X_,5,2,4,0,4,0,8,0,0,8,8,2024-03-03
Marasilina,4,1,-1,3,2,1,6,0,2,8,6,2024-02-29
Katerina_Riga28,5,2,10,1,11,0,7,0,1,8,7,2024-01-29
John_Adamakis6146,5,2,9,0,9,0,8,0,0,8,8,2024-01-20
Laaa,5,2,14,0,14,0,8,0,0,8,8,2023-12-30
elenakipera1994,4,1,9,0,9,0,7,0,1,8,7,2023-11-05
stratus.stratus,5,2,8,0,8,0,4,0,4,8,4,2023-10-31
aggelos1924,5,2,22,0,22,0,8,0,0,8,8,2023-10-29
DEAD SHOT GR,5,2,13,2,15,0,8,0,0,8,8,2023-10-11
nikos. Tsampaaaaa,1,2,-45,48,3,0,0,0,0,0,0,2023-09-25
Xrhstos_Sam,5,2,7,1,8,0,8,0,0,8,8,2023-09-20
www.panos.gavros,5,2,11,0,11,0,8,0,0,8,8,2023-07-27
ALEXANDROS_X_,5,2,5,0,5,0,8,0,0,8,8,2024-03-03
Marasilina,4,1,-3,5,2,1,6,0,2,8,6,2024-02-29
Katerina_Riga28,5,2,11,1,12,0,7,0,1,8,7,2024-01-29
Laaa,5,2,15,0,15,0,8,0,0,8,8,2023-12-30
rafaelg13_linkinpark,5,2,0,0,0,0,7,0,1,8,7,2024-02-15
Tasos_Meli,5,2,2,0,2,0,7,0,1,8,7,2023-12-18
Despoina_Zantidou,3,0,-14,19,5,0,3,1,4,8,4,2023-12-05
Panos.33,5,2,-1,4,3,0,8,0,0,8,8,2023-11-01
Sergio_Chapsas,5,2,18,4,22,0,7,0,1,8,7,2023-07-23
Despina_Koufoudaki,4,1,-8,14,6,1,6,0,2,8,6,2023-06-07
Kostas_Keramaris427,5,2,10,2,12,0,7,0,1,8,7,2023-04-20
Agg_Mann,3,0,-30,43,13,1,6,1,1,8,7,2023-04-12
johnygrg,5,2,3,8,11,1,8,0,0,8,8,2023-04-10
Antonis_Kousis,4,1,1,4,5,1,6,0,2,8,6,2023-03-28
E.N.,3,0,-2,13,11,0,5,1,2,8,6,2023-03-07
Restalious,5,2,10,2,12,0,7,0,1,8,7,2023-01-31
julakos,5,2,14,1,15,0,8,0,0,8,8,2023-01-17
ATHANASIOS_PAPADOPOULOS7,5,2,5,2,7,0,8,0,0,8,8,2022-12-11
melina_beleri4817,5,2,1,4,5,0,7,0,1,8,7,2022-11-26
TakisJ,5,2,12,2,14,0,8,0,0,8,8,2022-09-24
Alexeypilot,4,1,-2,9,7,0,6,0,2,8,6,2022-09-15
dimitris_gk972,5,2,8,5,13,0,8,0,0,8,8,2022-09-03
sotianto2,5,2,6,2,8,0,8,0,0,8,8,2022-09-03
spetsiwtis_07,5,2,17,2,19,0,4,0,1,5,4,2022-07-10
fotis.kalafatis,4,1,5,9,14,0,5,1,2,8,6,2022-04-14
varv.e,5,2,-1,9,8,0,7,0,1,8,7,2022-04-06
rafaelg13_linkinpark,5,2,1,0,1,0,7,0,1,8,7,2024-02-15
Tasos_Meli,5,2,3,0,3,0,7,0,1,8,7,2023-12-18
Despoina_Zantidou,3,0,-15,20,5,0,3,1,4,8,4,2023-12-05
PanosKets,5,2,1,0,1,0,8,0,0,8,8,2024-01-20
Spyridon_Spyros,5,2,3,0,3,0,8,0,0,8,8,2023-12-17
Dxml,5,2,0,0,0,0,8,0,0,8,8,2023-11-18
Loukas_Goulas68,5,2,2,1,3,0,8,0,0,8,8,2023-07-26
Babis Ktv,5,2,15,1,16,0,8,0,0,8,8,2023-05-19
Nikos Nedos,5,2,0,5,5,0,8,0,0,8,8,2023-05-07
Ninja1,4,1,11,0,11,0,7,0,1,8,7,2023-03-06
Dim__Sio_,5,2,0,2,2,0,8,0,0,8,8,2023-02-21
alexandross_g,5,2,6,2,8,0,8,0,0,8,8,2022-12-19
Spyros_Tsoukalis4838,2,1,-76,98,22,0,2,2,4,8,4,2022-11-11
Xristos_Xlidas,5,2,9,3,12,0,8,0,0,8,8,2022-11-06
faze_bazz,5,2,13,6,19,0,8,0,0,8,8,2022-09-23
giann.george,5,2,16,5,21,0,8,0,0,8,8,2022-08-22
Eleftheria_Xenidou_,5,2,6,4,10,0,7,0,1,8,7,2022-08-12
zeina_angel,4,1,5,6,11,1,8,0,0,8,8,2022-08-09
Billychenko,3,0,-24,43,19,1,3,2,3,8,5,2022-07-19
xatzitakis_t,5,2,5,8,13,1,7,0,0,7,7,2022-07-09
Green_Bear,3,0,-13,23,10,0,5,0,3,8,5,2022-06-26
Andreas_Mpachlavas,4,1,6,9,15,0,0,0,0,0,0,2022-06-19
giannis1451411413,3,0,-12,38,26,0,3,0,5,8,3,2022-06-13
Ntin@s78,3,0,8,8,16,0,6,1,1,8,7,2022-06-05
dgsfak,5,2,8,4,12,0,7,1,0,8,8,2022-05-23
geopasxmag,5,2,7,4,11,1,8,0,0,8,8,2022-05-11
Ioannis_Panagopoulos12,5,2,-3,7,4,1,6,1,1,8,7,2022-05-10
Akis_Vask,5,2,5,2,7,1,7,0,1,8,7,2022-05-04
PanosKets,5,2,2,0,2,0,8,0,0,8,8,2024-01-20
Spyridon_Spyros,5,2,4,0,4,0,8,0,0,8,8,2023-12-17
Dxml,5,2,1,0,1,0,8,0,0,8,8,2023-11-18
Loukas_Goulas68,5,2,3,1,4,0,8,0,0,8,8,2023-07-26
Babis Ktv,5,2,16,1,17,0,8,0,0,8,8,2023-05-19
Nikos Nedos,5,2,0,6,6,0,8,0,0,8,8,2023-05-07
Ninja1,4,1,13,0,13,0,7,0,1,8,7,2023-03-06
Nikos Nedos,5,2,1,5,6,0,8,0,0,8,8,2023-05-07
Ninja1,4,1,12,0,12,0,7,0,1,8,7,2023-03-06
Sagkma,4,1,2,2,4,0,4,0,4,8,4,2023-12-08
xaris211971,5,2,9,3,12,0,8,0,0,8,8,2023-07-19
Dimitris Litsas,5,2,5,6,11,0,7,0,1,8,7,2023-05-12
manos.00000,5,2,3,2,5,0,8,0,0,8,8,2023-05-04
evitatz,4,1,-4,17,13,0,5,1,2,8,6,2023-04-18
